sa2_code,sa2_name,dhb,dose1_uptake_perc,dose2_uptake_perc
127900,Henderson North East,Waitemata,87.5,77.5
128000,Waitakere Ranges South,Waitemata,82.5,72.5
128100,Northcote Tuff Crater,Waitemata,97.5,87.5
128200,Northcote Point (Auckland),Waitemata,97.5,87.5
128300,McLaren Park,Waitemata,87.5,72.5
128400,Henderson East,Waitemata,92.5,77.5
128500,Te Atatu South-McLeod South,Waitemata,92.5,77.5
128600,Takapuna South,Waitemata,92.5,87.5
128700,Rosebank Peninsula,Auckland,97.5,82.5
128800,Hauraki,Waitemata,92.5,87.5
128900,Glendene North,Waitemata,87.5,77.5
129000,Sunnyvale West-Parrs Park,Waitemata,87.5,72.5
129100,Sunnyvale East,Waitemata,87.5,77.5
129200,Point Chevalier West,Auckland,92.5,87.5
129300,Belmont (Auckland),Waitemata,92.5,87.5
129400,Bayswater,Waitemata,92.5,87.5
129500,Glendene South,Waitemata,92.5,77.5
129600,Glen Eden West,Waitemata,87.5,77.5
129700,Herne Bay,Auckland,92.5,87.5
129800,Westmere North,Auckland,92.5,87.5
129900,Point Chevalier East,Auckland,97.5,87.5
130000,Oratia,Waitemata,92.5,77.5
130100,Glen Eden Rosier,Waitemata,92.5,77.5
130200,Saint Marys Bay,Auckland,92.5,87.5
130300,Westmere South-Western Springs,Auckland,97.5,87.5
130400,Ponsonby West,Auckland,92.5,87.5
130500,Kelston North,Waitemata,92.5,77.5
130600,Avondale Rosebank ,Auckland,92.5,77.5
130700,Narrow Neck,Waitemata,92.5,87.5
130800,Glen Eden North,Waitemata,92.5,77.5
130900,Glen Eden Woodglen,Waitemata,87.5,77.5
131000,Kelston South,Waitemata,92.5,77.5
131100,Waterview,Auckland,92.5,82.5
131200,Ponsonby East,Auckland,92.5,87.5
131300,Wynyard-Viaduct,Auckland,92.5,87.5
131400,Stanley Point,Waitemata,97.5,92.5
131500,Glen Eden Central,Waitemata,92.5,82.5
131600,Grey Lynn North,Auckland,92.5,87.5
131700,Avondale West (Auckland),Auckland,92.5,77.5
131800,Freemans Bay,Auckland,92.5,82.5
131900,Mount Albert West,Auckland,92.5,87.5
132000,Avondale North (Auckland),Auckland,92.5,82.5
132100,Grey Lynn West,Auckland,92.5,82.5
132200,Mount Albert North,Auckland,97.5,87.5
132300,New Lynn North,Waitemata,92.5,82.5
132400,Victoria Park ,Auckland,97.5,97.5
132500,Konini,Waitemata,92.5,82.5
132600,New Lynn North West,Waitemata,92.5,82.5
132700,Hobson Ridge North,Auckland,97.5,97.5
132800,Grey Lynn Central,Auckland,92.5,87.5
132900,Fruitvale,Waitemata,92.5,82.5
133000,Devonport,Waitemata,92.5,87.5
133100,Avondale Central (Auckland),Auckland,92.5,82.5
133200,Queen Street,Auckland,97.5,87.5
133300,Quay Street-Customs Street,Auckland,97.5,92.5
133400,Hobson Ridge Central,Auckland,97.5,97.5
133500,Grey Lynn East,Auckland,97.5,87.5
133600,Morningside (Auckland),Auckland,92.5,82.5
133700,Shortland Street,Auckland,97.5,82.5
133800,Hobson Ridge South,Auckland,97.5,97.5
133900,New Lynn Central,Waitemata,92.5,82.5
134000,Cheltenham,Waitemata,92.5,87.5
134100,Queen Street South West,Auckland,97.5,92.5
134200,Mount Albert Central,Auckland,97.5,87.5
134300,Karangahape,Auckland,97.5,87.5
134400,Kingsland,Auckland,92.5,87.5
134500,Anzac Avenue,Auckland,97.5,92.5
134600,Waima-Woodlands Park,Waitemata,92.5,82.5
134700,Kaurilands,Waitemata,92.5,82.5
134800,Auckland-University,Auckland,97.5,92.5
134900,New Lynn Seabrook,Waitemata,92.5,77.5
135000,Avondale South (Auckland),Auckland,92.5,82.5
135100,Symonds Street North West,Auckland,97.5,97.5
135200,Mount Albert South,Auckland,97.5,87.5
135300,Symonds Street West,Auckland,97.5,97.5
135400,West Lynn,Waitemata,92.5,82.5
135500,Owairaka West,Auckland,97.5,87.5
135600,New Lynn Central South,Waitemata,92.5,82.5
135700,The Strand,Auckland,97.5,97.5
135800,St Lukes,Auckland,92.5,82.5
135900,Symonds Street East,Auckland,97.5,97.5
136000,Eden Terrace,Auckland,97.5,87.5
136100,Grafton,Auckland,97.5,87.5
136200,Eden Park,Auckland,92.5,87.5
136300,Sandringham North,Auckland,97.5,92.5
136400,Parnell West,Auckland,92.5,87.5
136500,New Lynn South,Waitemata,92.5,82.5
136600,New Windsor North,Auckland,92.5,82.5
136700,Titirangi South,Waitemata,92.5,82.5
136800,Owairaka East,Auckland,97.5,87.5
136900,Eden Valley,Auckland,92.5,87.5
137000,Sandringham Central,Auckland,97.5,87.5
137100,Glenavon,Auckland,87.5,77.5
137200,Blockhouse Bay North,Auckland,92.5,82.5
137300,Green Bay North,Waitemata,92.5,82.5
137400,Parnell East,Auckland,92.5,87.5
137500,Laingholm,Waitemata,92.5,82.5
137600,Sandringham West,Auckland,97.5,87.5
137700,Mount Eden North East,Auckland,97.5,87.5
137800,Mount Eden North,Auckland,92.5,82.5
137900,Wesley West,Auckland,87.5,72.5
138000,Green Bay South,Waitemata,92.5,87.5
138100,Balmoral,Auckland,97.5,87.5
138200,Sandringham East,Auckland,97.5,87.5
138300,New Windsor South,Auckland,92.5,82.5
138400,Mount Eden West,Auckland,97.5,92.5
138500,Newmarket,Auckland,97.5,92.5
138600,Blockhouse Bay North East,Auckland,97.5,87.5
138700,Epsom North,Auckland,92.5,87.5
138800,Wesley South,Auckland,87.5,77.5
138900,Blockhouse Bay South,Auckland,92.5,87.5
139000,Mount Eden East,Auckland,97.5,87.5
139100,Wesley East,Auckland,87.5,77.5
139200,Orakei West,Auckland,92.5,87.5
139300,Maungawhau,Auckland,97.5,87.5
139400,Remuera West,Auckland,92.5,87.5
139500,Blockhouse Bay East,Auckland,92.5,87.5
139600,Lynfield North,Auckland,97.5,87.5
139700,Mount Roskill North,Auckland,92.5,82.5
139800,Mount Roskill White Swan,Auckland,97.5,87.5
139900,Mount Eden South,Auckland,97.5,87.5
140000,Remuera Waitaramoa,Auckland,92.5,87.5
140100,Orakei East,Auckland,87.5,77.5
140200,Epsom Central-North,Auckland,92.5,87.5
140300,Mount St John,Auckland,92.5,82.5
140400,Mount Roskill Central North,Auckland,97.5,87.5
140500,Remuera North,Auckland,92.5,87.5
140600,Three Kings West,Auckland,92.5,77.5
140700,Mount Roskill Central South,Auckland,92.5,77.5
140800,Epsom Central-South,Auckland,92.5,87.5
140900,Lynfield South,Auckland,92.5,87.5
141000,Remuera South,Auckland,97.5,87.5
141100,Mission Bay,Auckland,92.5,82.5
141200,Three Kings East,Auckland,92.5,87.5
141300,Mount Roskill South,Auckland,92.5,87.5
141400,Inlet Manukau Harbour,Counties Manukau,7.5,7.5
141500,Epsom East,Auckland,92.5,87.5
141600,Remuera Waiata,Auckland,97.5,92.5
141700,Epsom South,Auckland,97.5,87.5
141800,Kohimarama,Auckland,92.5,87.5
141900,Meadowbank West,Auckland,97.5,92.5
142000,Hillsborough North (Auckland),Auckland,92.5,87.5
142100,Hillsborough West (Auckland),Auckland,97.5,87.5
142200,Greenlane North,Auckland,97.5,87.5
142300,Waikowhai North,Auckland,92.5,77.5
142400,Remuera East,Auckland,97.5,92.5
142500,Waikowhai South,Auckland,97.5,92.5
142600,Royal Oak West (Auckland),Auckland,92.5,82.5
142700,Saint Heliers West,Auckland,92.5,87.5
142800,One Tree Hill,Auckland,92.5,87.5
142900,Hillsborough East (Auckland),Auckland,97.5,87.5
143000,Saint Heliers North,Auckland,92.5,87.5
143100,Remuera Abbotts Park,Auckland,97.5,87.5
143200,Meadowbank East,Auckland,97.5,92.5
143300,Ellerslie Central,Auckland,92.5,87.5
143400,Royal Oak East (Auckland),Auckland,92.5,87.5
143500,Saint Heliers South,Auckland,92.5,87.5
143600,Hillsborough South (Auckland),Auckland,92.5,87.5
143700,Saint Johns West,Auckland,92.5,87.5
143800,Greenlane South,Auckland,92.5,87.5
143900,Remuera Waiatarua,Auckland,97.5,87.5
144000,Glendowie North,Auckland,97.5,92.5
144100,Onehunga West,Auckland,92.5,87.5
144200,Ellerslie West,Auckland,92.5,82.5
144300,Onehunga North,Auckland,92.5,87.5
144400,Ellerslie East,Auckland,92.5,87.5
144500,Saint Johns East,Auckland,97.5,87.5
144600,Oneroa West,Auckland,92.5,77.5
144700,Glen Innes West,Auckland,87.5,72.5
144800,Ellerslie South,Auckland,97.5,87.5
144900,Stonefields West,Auckland,92.5,87.5
145000,Onehunga Central,Auckland,92.5,87.5
145100,Glendowie South,Auckland,92.5,87.5
145200,Oranga,Auckland,87.5,72.5
145300,Mount Wellington North West,Auckland,92.5,87.5
145400,Panmure Glen Innes Industrial,Auckland,87.5,72.5
145500,Onehunga-Te Papapa Industrial,Auckland,92.5,82.5
145600,Te Papapa,Auckland,92.5,82.5
145700,Stonefields East,Auckland,92.5,82.5
145800,Glen Innes East-Wai O Taiki Bay,Auckland,87.5,72.5
145900,Penrose,Auckland,92.5,82.5
146000,Mount Wellington North East,Auckland,97.5,92.5
146100,Mangere Bridge Ambury,Counties Manukau,92.5,82.5
146200,Mount Wellington Ferndale,Auckland,97.5,87.5
146300,Point England,Auckland,82.5,67.5
146400,Bucklands Beach North,Counties Manukau,92.5,87.5
146500,Mount Wellington East,Auckland,92.5,82.5
146600,Mount Wellington West,Auckland,92.5,82.5
146700,Panmure West,Auckland,97.5,87.5
146800,Mangere Bridge,Counties Manukau,87.5,82.5
146900,Oneroa East-Palm Beach,Auckland,87.5,82.5
147000,Tamaki,Auckland,87.5,72.5
147100,Panmure East,Auckland,92.5,82.5
147200,Mount Wellington Central,Auckland,92.5,82.5
147400,Sylvia Park,Auckland,92.5,87.5
147500,Mangere Mountain View,Counties Manukau,87.5,72.5
147600,Surfdale,Auckland,87.5,77.5
147700,Mount Wellington Industrial,Auckland,97.5,87.5
147800,Half Moon Bay West,Counties Manukau,92.5,87.5
147900,Auckland Airport,Counties Manukau,82.5,62.5
148000,Eastern Beach,Counties Manukau,92.5,87.5
148100,Sunnyhills West-Pakuranga North,Counties Manukau,92.5,87.5
148200,Favona North,Counties Manukau,82.5,72.5
148300,Bucklands Beach Central,Counties Manukau,92.5,87.5
148400,Farm Cove,Counties Manukau,97.5,87.5
148500,Mangere North,Counties Manukau,82.5,67.5
148600,Favona West,Counties Manukau,82.5,67.5
148700,Ostend,Auckland,87.5,72.5
148800,Half Moon Bay North East,Counties Manukau,92.5,87.5
148900,Mangere West,Counties Manukau,77.5,62.5
149000,Pakuranga West,Counties Manukau,92.5,82.5
149100,Mount Wellington South West,Auckland,92.5,82.5
149200,Sunnyhills East,Counties Manukau,92.5,87.5
149300,Half Moon Bay South East,Counties Manukau,92.5,87.5
149400,Favona East,Counties Manukau,87.5,72.5
149500,Mount Wellington South East,Auckland,87.5,72.5
149600,Otahuhu Industrial,Counties Manukau,97.5,97.5
149700,Bucklands Beach South,Counties Manukau,92.5,82.5
149800,Pakuranga Central,Counties Manukau,92.5,82.5
149900,Awhitu,Counties Manukau,82.5,72.5
150000,Harania North,Counties Manukau,82.5,67.5
150100,Otahuhu Central,Auckland,87.5,77.5
150200,Mangere Central,Counties Manukau,82.5,67.5
150300,Otahuhu North,Auckland,92.5,77.5
150400,Howick West,Counties Manukau,92.5,82.5
150500,Pakuranga Heights North West,Counties Manukau,87.5,77.5
150600,Mellons Bay,Counties Manukau,92.5,87.5
150700,Pakuranga Heights East,Counties Manukau,92.5,82.5
150800,Sutton Park,Counties Manukau,82.5,67.5
150900,Otahuhu East,Auckland,87.5,72.5
151000,Mangere South,Counties Manukau,87.5,72.5
151100,Onetangi,Auckland,87.5,77.5
151200,Harania South,Counties Manukau,82.5,72.5
151300,Highland Park (Auckland),Counties Manukau,92.5,82.5
151400,Otahuhu South West,Auckland,87.5,77.5
151500,Pakuranga Heights South West,Counties Manukau,92.5,82.5
151600,Mangere Mascot,Counties Manukau,82.5,67.5
151700,Waiheke East,Auckland,87.5,77.5
151800,Massey Road West,Counties Manukau,82.5,67.5
151900,Otahuhu South,Auckland,87.5,77.5
152000,Howick Central,Counties Manukau,92.5,82.5
152100,Massey Road North,Counties Manukau,87.5,72.5
152200,Botany Downs West,Counties Manukau,92.5,82.5
152300,East Tamaki,Counties Manukau,92.5,82.5
152400,Howick East,Counties Manukau,92.5,82.5
152500,Burswood,Counties Manukau,97.5,87.5
152600,Massey Road South,Counties Manukau,82.5,72.5
152700,Middlemore,Counties Manukau,57.5,22.5
152800,Mangere South East,Counties Manukau,87.5,72.5
152900,Botany Downs East,Counties Manukau,97.5,87.5
153000,Grange,Counties Manukau,87.5,72.5
153100,Golflands,Counties Manukau,92.5,87.5
153200,Aorere North,Counties Manukau,82.5,72.5
153300,Mangere East,Counties Manukau,92.5,77.5
153400,Cockle Bay,Counties Manukau,92.5,87.5
153500,Otara West,Counties Manukau,77.5,57.5
153600,Aorere Central,Counties Manukau,87.5,72.5
153700,Northpark North,Counties Manukau,92.5,82.5
153800,Somerville,Counties Manukau,92.5,87.5
153900,Northpark South,Counties Manukau,92.5,87.5
154000,Papatoetoe North,Counties Manukau,97.5,82.5
154100,Dingwall,Counties Manukau,97.5,87.5
154200,Aorere South,Counties Manukau,87.5,77.5
154300,Shelly Park,Counties Manukau,92.5,87.5
154400,Otara Central,Counties Manukau,77.5,62.5
154500,Huntington Park,Counties Manukau,92.5,87.5
154600,Botany Central,Counties Manukau,72.5,52.5
154700,Botany North,Counties Manukau,92.5,82.5
154800,Papatoetoe West,Counties Manukau,92.5,82.5
154900,Papatoetoe Central,Counties Manukau,97.5,87.5
155000,Sunkist Bay,Counties Manukau,92.5,87.5
155100,Otara East,Counties Manukau,82.5,62.5
